client,reqID,url,elapsedTime,averageReqTime
client-1.rsx218-dox.cnam.fr,80,host32.domain235.rsx218-dox.cnam.fr,27.239884ms,20.861687ms
client-1.rsx218-dox.cnam.fr,81,host41.domain13.rsx218-dox.cnam.fr,21.377069ms,20.868049ms
client-1.rsx218-dox.cnam.fr,82,host104.domain241.rsx218-dox.cnam.fr,19.972374ms,20.857122ms
client-1.rsx218-dox.cnam.fr,83,host123.domain65.rsx218-dox.cnam.fr,24.409896ms,20.899916ms
client-1.rsx218-dox.cnam.fr,84,host121.domain196.rsx218-dox.cnam.fr,20.857094ms,20.899405ms
client-1.rsx218-dox.cnam.fr,85,host250.domain227.rsx218-dox.cnam.fr,20.054264ms,20.889459ms
client-1.rsx218-dox.cnam.fr,86,host216.domain197.rsx218-dox.cnam.fr,19.695847ms,20.875570ms
client-1.rsx218-dox.cnam.fr,87,host19.domain23.rsx218-dox.cnam.fr,20.418823ms,20.870310ms
client-1.rsx218-dox.cnam.fr,88,host150.domain46.rsx218-dox.cnam.fr,21.118069ms,20.873125ms
client-1.rsx218-dox.cnam.fr,89,host76.domain33.rsx218-dox.cnam.fr,19.608884ms,20.858910ms
client-1.rsx218-dox.cnam.fr,90,host146.domain9.rsx218-dox.cnam.fr,19.823094ms,20.847400ms
client-1.rsx218-dox.cnam.fr,91,host195.domain146.rsx218-dox.cnam.fr,22.042771ms,20.860527ms
client-1.rsx218-dox.cnam.fr,92,host177.domain173.rsx218-dox.cnam.fr,19.216946ms,20.842652ms
client-1.rsx218-dox.cnam.fr,93,host110.domain160.rsx218-dox.cnam.fr,19.36615ms,20.826774ms
client-1.rsx218-dox.cnam.fr,94,host229.domain224.rsx218-dox.cnam.fr,26.293376ms,20.884926ms
client-1.rsx218-dox.cnam.fr,95,host233.domain247.rsx218-dox.cnam.fr,26.780034ms,20.946979ms
client-1.rsx218-dox.cnam.fr,96,host28.domain48.rsx218-dox.cnam.fr,20.406181ms,20.941344ms
client-1.rsx218-dox.cnam.fr,97,host243.domain138.rsx218-dox.cnam.fr,59.269526ms,21.336474ms
client-1.rsx218-dox.cnam.fr,98,host232.domain57.rsx218-dox.cnam.fr,20.89727ms,21.331990ms
client-1.rsx218-dox.cnam.fr,99,host137.domain219.rsx218-dox.cnam.fr,20.638613ms,21.324980ms
client-1.rsx218-dox.cnam.fr,100,host69.domain119.rsx218-dox.cnam.fr,17.568092ms,21.287410ms
client-1.rsx218-dox.cnam.fr,101,host18.domain138.rsx218-dox.cnam.fr,25.074236ms,21.324901ms
client-1.rsx218-dox.cnam.fr,102,host74.domain145.rsx218-dox.cnam.fr,19.703235ms,21.309000ms
client-1.rsx218-dox.cnam.fr,103,host142.domain138.rsx218-dox.cnam.fr,19.122448ms,21.287767ms
client-1.rsx218-dox.cnam.fr,104,host181.domain124.rsx218-dox.cnam.fr,20.772176ms,21.282808ms
client-1.rsx218-dox.cnam.fr,105,host177.domain87.rsx218-dox.cnam.fr,29.683564ms,21.362810ms
client-1.rsx218-dox.cnam.fr,106,host162.domain164.rsx218-dox.cnam.fr,17.438983ms,21.325783ms
client-1.rsx218-dox.cnam.fr,107,host170.domain242.rsx218-dox.cnam.fr,19.645746ms,21.310075ms
client-1.rsx218-dox.cnam.fr,108,host149.domain21.rsx218-dox.cnam.fr,18.221194ms,21.281472ms
client-1.rsx218-dox.cnam.fr,109,host171.domain160.rsx218-dox.cnam.fr,19.091264ms,21.261376ms
client-1.rsx218-dox.cnam.fr,110,host214.domain168.rsx218-dox.cnam.fr,21.030192ms,21.259273ms
client-1.rsx218-dox.cnam.fr,111,host45.domain133.rsx218-dox.cnam.fr,18.410595ms,21.233604ms
client-1.rsx218-dox.cnam.fr,112,host87.domain132.rsx218-dox.cnam.fr,18.894031ms,21.212714ms
client-1.rsx218-dox.cnam.fr,113,host84.domain244.rsx218-dox.cnam.fr,19.886491ms,21.200973ms
client-1.rsx218-dox.cnam.fr,114,host182.domain62.rsx218-dox.cnam.fr,17.676511ms,21.170053ms
client-1.rsx218-dox.cnam.fr,115,host210.domain216.rsx218-dox.cnam.fr,20.842728ms,21.167200ms
client-1.rsx218-dox.cnam.fr,116,host109.domain129.rsx218-dox.cnam.fr,19.940426ms,21.156621ms
client-1.rsx218-dox.cnam.fr,117,host211.domain189.rsx218-dox.cnam.fr,19.801855ms,21.145034ms
client-1.rsx218-dox.cnam.fr,118,host136.domain179.rsx218-dox.cnam.fr,18.087303ms,21.119119ms
client-1.rsx218-dox.cnam.fr,119,host100.domain133.rsx218-dox.cnam.fr,19.534801ms,21.105798ms
client-1.rsx218-dox.cnam.fr,120,host76.domain196.rsx218-dox.cnam.fr,20.590664ms,21.101500ms
client-1.rsx218-dox.cnam.fr,121,host120.domain242.rsx218-dox.cnam.fr,19.362392ms,21.087124ms
client-1.rsx218-dox.cnam.fr,122,host156.domain202.rsx218-dox.cnam.fr,20.251515ms,21.080270ms
client-1.rsx218-dox.cnam.fr,123,host131.domain62.rsx218-dox.cnam.fr,18.191592ms,21.056780ms
client-1.rsx218-dox.cnam.fr,124,host129.domain93.rsx218-dox.cnam.fr,20.10546ms,21.049105ms
client-1.rsx218-dox.cnam.fr,125,host152.domain77.rsx218-dox.cnam.fr,23.143751ms,21.065856ms
client-1.rsx218-dox.cnam.fr,126,host107.domain211.rsx218-dox.cnam.fr,20.534725ms,21.061635ms
client-1.rsx218-dox.cnam.fr,127,host91.domain199.rsx218-dox.cnam.fr,19.712026ms,21.051008ms
client-1.rsx218-dox.cnam.fr,128,host208.domain59.rsx218-dox.cnam.fr,18.566425ms,21.031594ms
client-1.rsx218-dox.cnam.fr,129,host184.domain43.rsx218-dox.cnam.fr,19.531396ms,21.019961ms
client-1.rsx218-dox.cnam.fr,130,host216.domain169.rsx218-dox.cnam.fr,18.840323ms,21.003192ms
client-1.rsx218-dox.cnam.fr,131,host79.domain9.rsx218-dox.cnam.fr,31.872789ms,21.086160ms
client-1.rsx218-dox.cnam.fr,132,host95.domain143.rsx218-dox.cnam.fr,33.817677ms,21.182606ms
client-1.rsx218-dox.cnam.fr,133,host80.domain99.rsx218-dox.cnam.fr,18.202185ms,21.160195ms
client-1.rsx218-dox.cnam.fr,134,host145.domain204.rsx218-dox.cnam.fr,22.652852ms,21.171328ms
client-1.rsx218-dox.cnam.fr,135,host116.domain28.rsx218-dox.cnam.fr,19.794533ms,21.161126ms
client-1.rsx218-dox.cnam.fr,136,host65.domain82.rsx218-dox.cnam.fr,18.940647ms,21.144794ms
client-1.rsx218-dox.cnam.fr,137,host1.domain7.rsx218-dox.cnam.fr,19.032294ms,21.129372ms
client-1.rsx218-dox.cnam.fr,138,host101.domain131.rsx218-dox.cnam.fr,19.586507ms,21.118188ms
client-1.rsx218-dox.cnam.fr,139,host152.domain99.rsx218-dox.cnam.fr,19.504425ms,21.106576ms
client-1.rsx218-dox.cnam.fr,140,host118.domain52.rsx218-dox.cnam.fr,19.785882ms,21.097136ms
client-1.rsx218-dox.cnam.fr,141,host191.domain173.rsx218-dox.cnam.fr,19.384476ms,21.084986ms
client-1.rsx218-dox.cnam.fr,142,host223.domain39.rsx218-dox.cnam.fr,19.151914ms,21.071366ms
client-1.rsx218-dox.cnam.fr,143,host43.domain172.rsx218-dox.cnam.fr,19.223098ms,21.058441ms
client-1.rsx218-dox.cnam.fr,144,host217.domain60.rsx218-dox.cnam.fr,20.767447ms,21.056417ms
client-1.rsx218-dox.cnam.fr,145,host207.domain240.rsx218-dox.cnam.fr,19.229217ms,21.043814ms
client-1.rsx218-dox.cnam.fr,146,host234.domain198.rsx218-dox.cnam.fr,19.598168ms,21.033911ms
client-1.rsx218-dox.cnam.fr,147,host206.domain132.rsx218-dox.cnam.fr,19.206854ms,21.021476ms
client-1.rsx218-dox.cnam.fr,148,host4.domain244.rsx218-dox.cnam.fr,19.024246ms,21.007980ms
client-1.rsx218-dox.cnam.fr,149,host1.domain15.rsx218-dox.cnam.fr,18.927317ms,20.994013ms
client-1.rsx218-dox.cnam.fr,150,host69.domain234.rsx218-dox.cnam.fr,20.580943ms,20.991253ms
client-1.rsx218-dox.cnam.fr,151,host9.domain221.rsx218-dox.cnam.fr,21.143445ms,20.992258ms
client-1.rsx218-dox.cnam.fr,152,host76.domain195.rsx218-dox.cnam.fr,18.548681ms,20.976178ms
client-1.rsx218-dox.cnam.fr,153,host4.domain87.rsx218-dox.cnam.fr,19.006857ms,20.963301ms
client-1.rsx218-dox.cnam.fr,154,host64.domain30.rsx218-dox.cnam.fr,18.806488ms,20.949292ms
client-1.rsx218-dox.cnam.fr,155,host51.domain210.rsx218-dox.cnam.fr,22.018309ms,20.956187ms
client-1.rsx218-dox.cnam.fr,156,host194.domain230.rsx218-dox.cnam.fr,52.673361ms,21.159500ms
client-1.rsx218-dox.cnam.fr,157,host92.domain2.rsx218-dox.cnam.fr,18.301647ms,21.141293ms
client-1.rsx218-dox.cnam.fr,158,host150.domain235.rsx218-dox.cnam.fr,20.889647ms,21.139696ms
client-1.rsx218-dox.cnam.fr,159,host120.domain30.rsx218-dox.cnam.fr,27.464435ms,21.179472ms
client-1.rsx218-dox.cnam.fr,160,host57.domain157.rsx218-dox.cnam.fr,18.320512ms,21.161600ms
client-1.rsx218-dox.cnam.fr,161,host128.domain45.rsx218-dox.cnam.fr,17.941087ms,21.141596ms
client-1.rsx218-dox.cnam.fr,162,host179.domain116.rsx218-dox.cnam.fr,28.301527ms,21.185790ms
client-1.rsx218-dox.cnam.fr,163,host220.domain194.rsx218-dox.cnam.fr,21.471903ms,21.187540ms
client-1.rsx218-dox.cnam.fr,164,host104.domain98.rsx218-dox.cnam.fr,18.999428ms,21.174195ms
client-1.rsx218-dox.cnam.fr,165,host193.domain157.rsx218-dox.cnam.fr,18.412783ms,21.157455ms
client-1.rsx218-dox.cnam.fr,166,host41.domain11.rsx218-dox.cnam.fr,19.295357ms,21.146235ms
client-1.rsx218-dox.cnam.fr,167,host223.domain17.rsx218-dox.cnam.fr,20.857143ms,21.144503ms
client-1.rsx218-dox.cnam.fr,168,host227.domain10.rsx218-dox.cnam.fr,20.301135ms,21.139482ms
client-1.rsx218-dox.cnam.fr,169,host169.domain76.rsx218-dox.cnam.fr,19.512195ms,21.129852ms
client-1.rsx218-dox.cnam.fr,170,host250.domain119.rsx218-dox.cnam.fr,19.416017ms,21.119771ms
client-1.rsx218-dox.cnam.fr,171,host7.domain115.rsx218-dox.cnam.fr,19.443348ms,21.109965ms
client-1.rsx218-dox.cnam.fr,172,host72.domain181.rsx218-dox.cnam.fr,20.606971ms,21.107035ms
client-1.rsx218-dox.cnam.fr,173,host224.domain94.rsx218-dox.cnam.fr,19.676182ms,21.098763ms
client-1.rsx218-dox.cnam.fr,174,host151.domain244.rsx218-dox.cnam.fr,21.076532ms,21.098632ms
client-1.rsx218-dox.cnam.fr,175,host220.domain57.rsx218-dox.cnam.fr,19.695841ms,21.090611ms
client-1.rsx218-dox.cnam.fr,176,host56.domain38.rsx218-dox.cnam.fr,19.130841ms,21.079472ms
client-1.rsx218-dox.cnam.fr,177,host73.domain35.rsx218-dox.cnam.fr,19.633167ms,21.071299ms
client-1.rsx218-dox.cnam.fr,178,host45.domain104.rsx218-dox.cnam.fr,18.361557ms,21.056073ms
client-1.rsx218-dox.cnam.fr,179,host49.domain99.rsx218-dox.cnam.fr,18.262254ms,21.040464ms
client-1.rsx218-dox.cnam.fr,180,host80.domain97.rsx218-dox.cnam.fr,20.221746ms,21.035911ms
client-1.rsx218-dox.cnam.fr,181,host139.domain205.rsx218-dox.cnam.fr,18.52108ms,21.022017ms
client-1.rsx218-dox.cnam.fr,182,host80.domain96.rsx218-dox.cnam.fr,20.301514ms,21.018055ms
client-1.rsx218-dox.cnam.fr,183,host228.domain81.rsx218-dox.cnam.fr,17.820777ms,21.000579ms
client-1.rsx218-dox.cnam.fr,184,host151.domain114.rsx218-dox.cnam.fr,19.970665ms,20.994978ms
client-1.rsx218-dox.cnam.fr,185,host187.domain147.rsx218-dox.cnam.fr,19.488257ms,20.986832ms
client-1.rsx218-dox.cnam.fr,186,host237.domain138.rsx218-dox.cnam.fr,19.442999ms,20.978527ms
client-1.rsx218-dox.cnam.fr,187,host220.domain18.rsx218-dox.cnam.fr,25.384915ms,21.002086ms
client-1.rsx218-dox.cnam.fr,188,host138.domain4.rsx218-dox.cnam.fr,19.436598ms,20.993755ms
client-1.rsx218-dox.cnam.fr,189,host123.domain78.rsx218-dox.cnam.fr,18.618156ms,20.981185ms
client-1.rsx218-dox.cnam.fr,190,host74.domain238.rsx218-dox.cnam.fr,18.08892ms,20.965958ms
client-1.rsx218-dox.cnam.fr,191,host58.domain76.rsx218-dox.cnam.fr,22.19615ms,20.972398ms
client-1.rsx218-dox.cnam.fr,192,host137.domain217.rsx218-dox.cnam.fr,16.532807ms,20.949271ms
client-1.rsx218-dox.cnam.fr,193,host125.domain222.rsx218-dox.cnam.fr,17.855876ms,20.933238ms
client-1.rsx218-dox.cnam.fr,194,host99.domain134.rsx218-dox.cnam.fr,18.772938ms,20.922098ms
client-1.rsx218-dox.cnam.fr,195,host224.domain191.rsx218-dox.cnam.fr,17.684575ms,20.905492ms
client-1.rsx218-dox.cnam.fr,196,host44.domain193.rsx218-dox.cnam.fr,19.099956ms,20.896276ms
client-1.rsx218-dox.cnam.fr,197,host187.domain177.rsx218-dox.cnam.fr,17.676796ms,20.879929ms
client-1.rsx218-dox.cnam.fr,198,host249.domain3.rsx218-dox.cnam.fr,19.918963ms,20.875071ms
client-1.rsx218-dox.cnam.fr,199,host121.domain241.rsx218-dox.cnam.fr,17.144519ms,20.856322ms
client-1.rsx218-dox.cnam.fr,200,host78.domain80.rsx218-dox.cnam.fr,17.968366ms,20.841880ms
client-1.rsx218-dox.cnam.fr,201,host35.domain143.rsx218-dox.cnam.fr,17.916367ms,20.827323ms
client-1.rsx218-dox.cnam.fr,202,host46.domain218.rsx218-dox.cnam.fr,19.284699ms,20.819683ms
client-1.rsx218-dox.cnam.fr,203,host1.domain10.rsx218-dox.cnam.fr,17.546747ms,20.803557ms
client-1.rsx218-dox.cnam.fr,204,host127.domain43.rsx218-dox.cnam.fr,17.415849ms,20.786946ms
client-1.rsx218-dox.cnam.fr,205,host202.domain150.rsx218-dox.cnam.fr,18.857009ms,20.777532ms
client-1.rsx218-dox.cnam.fr,206,host156.domain246.rsx218-dox.cnam.fr,19.007583ms,20.768937ms
